Entidad,Codificacion,TipoValor,EntSec,Monto,FechaEmision,FechaVenc,Nodo,Estado,Transmision,TipoOperacion
,0003-00015502,FACTURA DE COMPRA POS,,"$ 1.500,00",10/01/2025,09/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015501,FACTURA DE COMPRA POS,,"$ 100.115,40",10/01/2025,09/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015503,FACTURA DE COMPRA POS,,"$ 7.000,00",10/01/2025,09/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015542,FACTURA DE COMPRA POS,,"$ 105.573,60",20/01/2025,19/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015556,FACTURA DE COMPRA POS,,"$ 40.044,30",21/01/2025,21/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015573,FACTURA DE COMPRA POS,,"$ 278.580,00",24/01/2025,23/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015576,FACTURA DE COMPRA POS,,"$ 26.000,00",24/01/2025,24/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015582,FACTURA DE COMPRA POS,,"$ 45.600,00",27/01/2025,26/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015583,FACTURA DE COMPRA POS,,"$ 159.000,00",27/01/2025,26/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015597,FACTURA DE COMPRA POS,,"$ 155.000,00",31/01/2025,02/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015599,FACTURA DE COMPRA POS,,"$ 120.271,93",31/01/2025,02/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015598,FACTURA DE COMPRA POS,,"$ 41.242,08",31/01/2025,02/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015612,FACTURA DE COMPRA POS,,"$ 23.000,00",05/02/2025,07/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015619,FACTURA DE COMPRA POS,,"$ 540.000,00",07/02/2025,07/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015640,FACTURA DE COMPRA POS,,"$ 73.001,40",11/02/2025,11/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015637,FACTURA DE COMPRA POS,,"$ 194.162,08",11/02/2025,13/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015656,FACTURA DE COMPRA POS,,"$ 77.240,59",13/02/2025,15/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015661,FACTURA DE COMPRA POS,,"$ 33.881,80",14/02/2025,16/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015683,FACTURA DE COMPRA POS,,"$ 79.184,83",19/02/2025,21/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015691,FACTURA DE COMPRA POS,,"$ 155.000,00",21/02/2025,23/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015713,FACTURA DE COMPRA POS,,"$ 216.999,71",28/02/2025,30/03/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015726,FACTURA DE COMPRA POS,,"$ 7.500,01",07/03/2025,07/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015733,FACTURA DE COMPRA POS,,"$ 114.903,36",11/03/2025,10/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015765,FACTURA DE COMPRA POS,,"$ 387.300,95",17/03/2025,17/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015770,FACTURA DE COMPRA POS,,"$ 13.375,00",18/03/2025,18/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015792,FACTURA DE COMPRA POS,,"$ 166.000,00",21/03/2025,21/04/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015787,FACTURA DE COMPRA POS,,"$ 36.600,00",21/03/2025,20/04/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015793,FACTURA DE COMPRA POS,,"$ 22.500,00",21/03/2025,21/04/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015791,FACTURA DE COMPRA POS,,"$ 150.000,00",21/03/2025,21/04/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015788,FACTURA DE COMPRA POS,,"$ 23.370,18",21/03/2025,21/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015794,FACTURA DE COMPRA POS,,"$ 22.500,00",21/03/2025,21/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015797,FACTURA DE COMPRA POS,,"$ 6.000,01",25/03/2025,25/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015804,FACTURA DE COMPRA POS,,"$ 165.492,91",25/03/2025,25/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015803,FACTURA DE COMPRA POS,,"$ 18.000,00",25/03/2025,25/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015875,FACTURA DE COMPRA POS,,"$ 155.000,00",28/03/2025,27/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015823,FACTURA DE COMPRA POS,,"$ 60.069,24",29/03/2025,29/04/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015833,FACTURA DE COMPRA POS,,"$ 354.040,32",01/04/2025,01/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015843,FACTURA DE COMPRA POS,,"$ 30.358,00",03/04/2025,03/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015844,FACTURA DE COMPRA POS,,"$ 5.200,00",04/04/2025,04/05/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015850,FACTURA DE COMPRA POS,,"$ 180.600,00",07/04/2025,07/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015856,FACTURA DE COMPRA POS,,"$ 42.611,06",08/04/2025,08/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015864,FACTURA DE COMPRA POS,,"$ 191.505,00",10/04/2025,10/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015867,FACTURA DE COMPRA POS,,"$ 165.767,55",11/04/2025,11/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015899,FACTURA DE COMPRA POS,,"$ 485.480,50",16/04/2025,16/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00001070,NOTA DE CREDITO DE ,,"-$ 9.438,00",17/04/2025,17/05/2025,FCIA BIOSALUD,AGRUPADO,,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,PVD-07-INGRESAR NOTA DE 
,0003-00015905,FACTURA DE COMPRA POS,,"$ 43.305,20",17/04/2025,17/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015904,FACTURA DE COMPRA POS,,"$ 18.876,00",17/04/2025,17/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015903,FACTURA DE COMPRA POS,,"$ 18.876,00",17/04/2025,17/05/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015908,FACTURA DE COMPRA POS,,"$ 21.000,00",22/04/2025,22/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015912,FACTURA DE COMPRA POS,,"$ 265.999,20",23/04/2025,23/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015921,FACTURA DE COMPRA POS,,"$ 35.789,40",24/04/2025,24/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015925,FACTURA DE COMPRA POS,,"$ 60.627,24",25/04/2025,25/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015924,FACTURA DE COMPRA POS,,"$ 280,72",25/04/2025,25/05/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015923,FACTURA DE COMPRA POS,,"$ 320.000,00",25/04/2025,25/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015956,FACTURA DE COMPRA POS,,"$ 138.879,93",30/04/2025,30/05/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015961,FACTURA DE COMPRA POS,,"$ 101.649,66",02/05/2025,01/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015964,FACTURA DE COMPRA POS,,"$ 24.625,92",05/05/2025,04/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015969,FACTURA DE COMPRA POS,,"$ 39.321,62",05/05/2025,05/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015973,FACTURA DE COMPRA POS,,"$ 455.660,00",06/05/2025,05/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015971,FACTURA DE COMPRA POS,,"$ 37.779,60",06/05/2025,05/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015972,FACTURA DE COMPRA POS,,"$ 132.613,80",06/05/2025,05/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015979,FACTURA DE COMPRA POS,,"$ 118.591,27",08/05/2025,08/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015999,FACTURA DE COMPRA POS,,"$ 184.613,34",13/05/2025,13/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016045,FACTURA DE COMPRA POS,,"$ 57.572,32",21/05/2025,21/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,,,,,,,,,,FTW-02-DESHACER 
,,,,,,,,,,FTW-01-EDITAR VALORES
,0003-00016050,FACTURA DE COMPRA POS,,"$ 150.400,00",22/05/2025,22/06/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,,,,,,,,,,FTW-02-DESHACER 
,,,,,,,,,,FTW-01-EDITAR VALORES
,0003-00016052,FACTURA DE COMPRA POS,,"$ 19.200,00",22/05/2025,21/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016075,FACTURA DE COMPRA POS,,"$ 37.779,60",26/05/2025,26/06/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016118,FACTURA DE COMPRA POS,,"$ 50.372,80",03/06/2025,03/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016127,FACTURA DE COMPRA POS,,"$ 18.900,00",03/06/2025,03/07/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016140,FACTURA DE COMPRA POS,,"$ 161.013,00",05/06/2025,05/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016141,FACTURA DE COMPRA POS,,"$ 143.471,00",05/06/2025,05/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016164,FACTURA DE COMPRA POS,,"$ 154.716,10",10/06/2025,10/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016163,FACTURA DE COMPRA POS,,"$ 392.445,14",10/06/2025,10/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016183,FACTURA DE COMPRA POS,,"$ 110.500,00",12/06/2025,12/07/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016182,FACTURA DE COMPRA POS,,"$ 1.250,01",12/06/2025,12/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016190,FACTURA DE COMPRA POS,,"$ 18.900,01",13/06/2025,13/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016211,FACTURA DE COMPRA POS,,"$ 159.000,00",18/06/2025,18/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016215,FACTURA DE COMPRA POS,,"$ 22.200,00",19/06/2025,19/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016241,FACTURA DE COMPRA POS,,"$ 224.769,60",25/06/2025,25/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016260,FACTURA DE COMPRA POS,,"$ 163.824,00",27/06/2025,27/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016270,FACTURA DE COMPRA POS,,"$ 27.355,70",30/06/2025,30/07/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016276,FACTURA DE COMPRA POS,,"$ 308.404,80",01/07/2025,01/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016275,FACTURA DE COMPRA POS,,"$ 375.000,00",01/07/2025,01/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016282,FACTURA DE COMPRA POS,,"$ 88.601,05",02/07/2025,02/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016283,FACTURA DE COMPRA POS,,"$ 129.000,00",02/07/2025,02/08/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016289,FACTURA DE COMPRA POS,,"$ 1.033,01",03/07/2025,03/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016316,FACTURA DE COMPRA POS,,"$ 26.400,00",08/07/2025,08/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016320,FACTURA DE COMPRA POS,,"$ 67.431,00",10/07/2025,10/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00016329,FACTURA DE COMPRA POS,,"$ 80.890,96",14/07/2025,14/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,,,,,,,,,,FTW-02-DESHACER 
,,,,,,,,,,FTW-01-EDITAR VALORES
,0003-00016330,FACTURA DE COMPRA POS,,"$ 18.840,00",14/07/2025,14/08/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
